year,Sample.ID,cross,fat.dry,fat.wet,moisture
2013,13322,SxL,32.5156192576261,9.606887507935,70.4545454545455
2013,13954,SxS,48.9805898284681,17.3302312858972,64.6181653863534
2013,12121,SxS,51.4960300877564,18.6522535880726,63.7792397660819
2013,13876,SxS,47.6267281105991,16.7208228369315,64.8919346336321
2013,13867,SxS,48.2181515403833,16.8055372532244,65.1468654099079
2013,12173,SxS,37.9623106727722,11.1952187832619,70.5096486887679
2013,13920,SxS,50.1232220813974,17.7654018257508,64.5565446752391
2013,12214,SxS,52.2315284495306,19.6568118169558,62.3660030627871
2013,13900,SxS,45.2813954397907,15.3012963747763,66.2084257206208
2013,12174,SxS,54.6757755627731,21.4493565607705,60.7699089039083
2013,12234,SxS,48.8531324888738,17.858180629383,63.4451677516274
2013,13970,SxS,49.7085048010973,17.8092035157416,64.1727233860624
2013,13554,SxS,49.1034482758619,17.8843230142117,63.5782747603834
2013,12222,SxS,32.3396758280479,9.73,69.91
2013,12124,SxS,43.7202380952382,14.39,67.09
2013,13979,SxS,41.5109098394403,13.41,67.70
2013,13941,SxS,53.4316134316134,19.11,64.23
2013,12201,SxS,57.9790660225439,21.44,63.03
2013,12175,SxS,39.4428969359328,11.44,71.00
2013,13548,SxS,41.6075071399425,13.06,68.62
2013,12165,SxS,55.0699774266362,18.58,66.26
2013,13367,LxL,15.5445544554455,4.10,73.61
2013,14127,LxL,20.548807917229,5.59,72.81
2013,12042,LxL,26.3926940639264,7.29,72.39
2013,14178,LxL,21.3404255319152,5.73,73.17
2013,13364,LxL,21.4285714285719,5.73,73.25
2013,14955,LxL,25.0098775187671,7.27,70.95
2013,13371,LxL,22.8974979822434,6.49,71.65
2013,13458,LxL,14.7913561847985,3.89,73.70
2013,15313,SxL,22.3620823620821,6.01,73.11
2013,13655,SxL,27.9209131675499,7.96,71.49
2013,13701,SxL,27.3301166063529,7.88,71.15
2013,13635,SxL,27.4839262751827,7.75,71.80
2013,15243,SxL,25.7844827586209,7.15,72.28
2013,13330,SxL,32.0962850644427,9.71,69.74
2013,13668,SxL,24.6929018021333,7.27,70.55
2013,15325,SxL,35.4242058705267,9.98,71.83
2013,13270,LxS,37.9511589403973,11.77,68.99
2013,15140,LxS,42.5970034575491,13.91,67.35
2013,13526,LxS,31.65999271933,9.41,70.26
2013,13246,LxS,26.2196626902515,7.12,72.86
2013,15221,LxS,33.8942695722357,9.84,70.96
2013,13319,LxS,30.6655909640983,8.81,71.27
2013,13260,LxS,23.4813971146544,6.38,72.83
2013,13551,LxS,27.0322580645156,7.35,72.83
2014,6c00013300,LxS,41.0517991300905,13.74,66.5413202503011
2014,6c00013317,LxS,30.6102117061025,9.36,69.4355980184006
2014,6c00015133,LxS,38.2659574468084,12.57,67.1436510141706
2014,6c00013337,LxS,47.2249904177847,17.02,63.9665079625677
2014,6c00013274,LxS,40.3085443037977,13.42,66.6945298916678
2014,6c00013609,LxS,45.3234501347711,16.20,64.263850627487
2014,6c00013341,LxS,36.5722156631247,12.33,66.2820428768111
2014,6c00015141,LxS,41.3124274099882,13.85,66.4675674691335
2014,6c00013252,LxS,35.7323688969258,11.60,67.5312964141736
2014,6c00013612,LxS,37.4841213832042,12.82,65.803522905278
2014,6c00015226,LxS,25.9219088937098,7.63,70.5721692435886
2014,6c00015172,LxS,35.3832976445396,11.37,67.8592861429429
2014,6c00015136,LxS,38.3262861169837,11.87,69.0418744303255
2014,6c00015146,LxS,40.6077568972408,13.67,66.346097114874
2014,6c00015120,LxS,40.4748260335652,13.51,66.6131093664415
2014,6c00013265,LxS,31.2921561197424,9.27,70.3793795075321
2014,6c00013574,LxS,34.8383500557414,11.05,68.2732366039362
2014,6c00015231,LxS,43.5625000000001,15.31,64.8657842652152
2014,6c00013255,LxS,33.9627434377646,10.92,67.8472269249001
2014,6c00013559,LxS,41.3078470824949,14.36,65.2446675031368
2014,6c00015245,SxL,27.7976857036206,8.03,71.1266478091477
2014,6c00013642,SxL,41.5915436777023,13.33,67.9404769557113
2014,6c00013622,SxL,35.9347996857817,10.92,69.6203071672355
2014,6c00015255,SxL,42.1544554455448,13.83,67.1842686389288
2014,6c00015258,SxL,30.7649842271296,8.34,72.8890164287252
2014,6c00013279,SxL,33.7157287157288,10.24,69.6408128219805
2014,6c00013650,SxL,36.4092512740106,11.24,69.1329972307037
2014,6c00013734,SxL,31.4512383900931,9.24,70.6190178012345
2014,6c00013733,SxL,29.5490122996645,8.72,70.4770507159106
2014,6c00013256,SxL,39.7160883280756,12.86,67.6244881103961
2014,6c00015273,SxL,32.2119645494829,9.49,70.5442203108728
2014,6c00013350,SxL,32.9968701095457,9.84,70.1755798969072
2014,6c00015334,SxL,31.1985617259284,9.30,70.1993656547349
2014,6c00013631,SxL,39.6354356543928,12.99,67.2274457999845
2014,6c00015202,SxL,40.8065156932853,13.68,66.4645197267531
2014,6c00013724,SxL,29.4598765432097,8.56,70.9566350269868
